group_number,total_transect_distance_m,species_name,transect_position_m,tree_circumference,tree_circumference_units,notes
1,100,Coast Redwood,0,101,cm,
1,100,Coast Redwood,0,24,cm,
1,100,Coast Redwood,0,55,cm,
1,100,Coast Redwood,2,7,cm,
1,100,Coast Redwood,2,81,cm,
1,100,Coast Redwood,2,45,cm,
1,100,Coast Redwood,3,5,cm,
1,100,Coast Redwood,3,49,cm,
1,100,Coast Redwood,2,13,cm,
1,100,Coast Redwood,4,33,cm,
1,100,Coast Redwood,4,178,cm,
1,100,Coast Redwood,4,9,cm,
1,100,Coast Redwood,6,63,cm,
1,100,Big Leaf Maple,8,149,cm,
1,100,Tanoak,8,9,cm,
1,100,Coast Redwood,15,405,cm,
1,100,Tanoak,15,16,cm,
1,100,Bay Laurel,11,13,cm,
1,100,Coast Redwood,19,16,cm,
1,100,Coast Redwood,19,43,cm,
1,100,Coast Redwood,19,19,cm,
1,100,Coast Redwood,19,17,cm,
1,100,Coast Redwood,19,11,cm,
1,100,Tanoak,23,8,cm,
1,100,Tanoak,25,23,cm,
1,100,Coast Redwood,26,152,cm,
1,100,Tanoak,31,32,cm,
1,100,Tanoak,32,21,cm,
1,100,Coast Redwood,39,53,cm,
1,100,Coast Redwood,45,340,cm,
1,100,Coast Redwood,45,432,cm,
1,100,Coast Redwood,47,300,cm,
1,100,Tanoak,49,8,cm,
1,100,Coast Redwood,50,39,cm,
1,100,Coast Redwood,51,52,cm,
1,100,Tanoak,52,5.5,cm,
1,100,Tanoak,53,6,cm,
1,100,Tanoak,54,5.5,cm,
1,100,Tanoak,56,11,cm,
1,100,Tanoak,56,17,cm,
1,100,Tanoak,56,2.5,cm,
1,100,Tanoak,56,13,cm,
1,100,Coast Redwood,57,494,cm,
1,100,Coast Redwood,58,55,cm,
1,100,Tanoak,58,3,cm,
1,100,Coast Redwood,58,10,cm,
1,100,Tanoak,60,16.5,cm,
1,100,Coast Redwood,61,16,cm,
1,100,Tanoak,62,11.4,cm,
1,100,Tanoak,63,20.2,cm,
1,100,Tanoak,63,11,cm,
1,100,Tanoak,66,16,cm,
1,100,Tanoak,67,3,cm,
1,100,Tanoak,67,12,cm,
1,100,Tanoak,67,22,cm,
1,100,Tanoak,70,8,cm,
1,100,Tanoak,70,20,cm,
1,100,Tanoak,71,13,cm,
1,100,Dead,71,120,cm,dead redwood
1,100,Tanoak,72,13.5,cm,
1,100,Coast Redwood,78,786,cm,
1,100,Coast Redwood,78,28,cm,
1,100,Coast Redwood,80,144,cm,
1,100,Tanoak,83,20.7,cm,
1,100,Tanoak,84,12,cm,
1,100,Coast Redwood,86,15,cm,
1,100,Tanoak,87,34,cm,
1,100,Tanoak,87,8,cm,
1,100,Tanoak,89,12,cm,
1,100,Tanoak,89,10,cm,
1,100,Tanoak,90,23,cm,
1,100,Dead,91,148,cm, dead redwood
1,100,Tanoak,95,13,cm,
1,100,Coast Redwood,96,53,cm,
1,100,Coast Redwood,97,876,cm,
1,100,Coast Redwood,97,801,cm,
2,100,Coast Redwood,4,542,cm,
2,100,Coast Redwood,4,7.5,cm,
2,100,Tanoak,8,54.6,cm,
2,100,CA Blackberry,13,5,cm,
2,100,Coast Redwood,20,644,cm,
2,100,Coast Redwood,21,8,cm,
2,100,Coast Redwood,36,777,cm,
2,100,Coast Redwood,39,560,cm,
2,100,Tanoak,44,17,cm,
2,100,Tanoak,49,22.4,cm,
2,100,Dead,51,117.8,cm,dead redwood
2,100,Coast Redwood,66,920,cm,
2,100,Coast Redwood,72,53,cm,
2,100,Coast Redwood,76,72.4,cm,
2,100,Coast Redwood,80,201,cm,
2,100,Dead,80,18.5,cm,dead redwood
2,100,Tanoak,80,12.5,cm,
2,100,Coast Redwood,82,248,cm,
2,100,Bay Laurel,93,21.6,cm,
3,80,Coast Redwood,0,375,cm ,
3,80,Coast Redwood,5,832,cm ,
3,80,Coast Redwood,15,151,cm ,Split 
3,80,Coast Redwood,18,1032,cm ,
3,80,Coast Redwood,23,652,cm ,
3,80,Coast Redwood,23,146,cm ,
3,80,Coast Redwood,30,37,cm ,
3,80,Coast Redwood,31,38,cm ,
3,80,Coast Redwood,33,940,cm ,
3,80,Coast Redwood,36,75,cm ,
3,80,Tanoak,45,27,cm ,
3,80,Tanoak,47,12,cm ,
3,80,Tanoak,48,20,cm ,
3,80,Tanoak,52,30,cm ,
3,80,Coast Redwood ,65,1235,cm ,
3,80,Coast Redwood,70,25,cm ,
3,80,Dead,74,325,cm ,Dead Douglas Fir