group_number,total_transect_distance_m,transect_position_m,ph,light,soil_moisture,notes
1,100,5,7.5,200,9,
1,100,10,7.5,1000,9.5,
1,100,15,7,350,5,
1,100,20,6.5,350,9,
1,100,25,7.5,400,8,
1,100,30,7.5,600,3.5,
1,100,35,7,500,10,
1,100,40,6.5,400,8,
1,100,45,7,200,7,
1,100,50,7.5,350,10,
1,100,55,7,300,5.5,
1,100,60,7.5,150,9,
1,100,65,7.5,350,6,
1,100,70,7,750,2,
1,100,75,7.5,500,4,
1,100,80,7.5,200,2,
1,100,85,7,500,4,
1,100,90,6.5,200,4,
1,100,95,8,500,9,
1,100,100,7,450,6,
2,100,5,7.5,2000,2,
2,100,10,,400,,under too many branches
2,100,15,7.5,300,6.5,
2,100,20,7.5,500,2.5,
2,100,25,7.5,500,9,
2,100,30,6.5,300,4,
2,100,35,6.5,2000,10,
2,100,40,7,500,8.5,
2,100,45,7,400,6.5,
2,100,50,7,200,8.5,
2,100,55,,,,under too many branches
2,100,60,6.5,350,9.5,
2,100,65,,,,under too many branches
2,100,70,7.5,200,9.5,
2,100,75,7.5,250,6,
2,100,80,7,400,7,
2,100,85,7,1500,10,
2,100,90,7,1000,9.5,
2,100,95,7,1000,9,
2,100,100,7,200,8.5,
3,80,0,7.5,150,8.5,
3,80,5,7,200,2,
3,80,10,6.5,100,2.5,
3,80,15,7,200,5,
3,80,20,7,190,3,
3,80,25,7.5,2000,4,
3,80,30,7,300,6.5,
3,80,35,7,200,9,
3,80,40,7.5,2000,3,Land clearing
3,80,45,7,1200,6.5,Land clearing
3,80,50,7,1000,7,Land clearing
3,80,55,7,500,9,
3,80,60,7.5,200,6.5,
3,80,65,7,100,5.5,
3,80,70,7,200,8.5,
3,80,75,7,500,8.5,
3,80,80,7,500,10,Right by a stream 