group_number,common_or_group_name,standardized_scientific_name
1,scrub algea ,Endocladia muricata
1,snails,Tegula funebralis
1,small sea anemone ,Anthopleura elegantissima
1, irredescent algae,Mazzaella flaccida
1,feather boa Kelp ,Egregia menziesii
1,large sea anemone,Anthopleura sola
1,hermit crab,Pagarus sp
1,stone crab,Pachygrapsus crassipes
1,limpit,Lottia spp
1,sea grape,Halosaccion glandiforme
1,bright green algae,Cladophora columbiana
1,sea slug,Diaulula sandiegensis
1,chorreline algae,Corallina spp.
2,snails ,Tegula funebralis
2,anemone,Anthopleura elegantissima
2,large anemone ,Anthopleura sola
2,Iridescent algae ,Mazzaella flaccida
2,Brown tufts ,Endocladia muricata
2,Sea grape,Halosaccion glandiforme 
2,Surfgrass ,Phyllospadix spp.
3,anemone,Anthopleura elegantissima
3,snails,Tegula funebralis
3,brown algae,Endocladia muricata
3,green algae,Mazaella flaccida
3,pink algae,Corallina spp.
3,barnacle,Balanus glandula
3,fucus,Fucus spp.
3,chiton,Nuttallina californica